match_id,match_date,league,broadcaster,home_team,away_team,audience_millions,brand,placement_type,camera_angle,exposure_seconds,fan_sentiment_score
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,CommBank,Stadium Signage,Close-up,3,3.4
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Optus,Broadcast Graphics Overlay,Aerial/Drone,1,3.3
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Toyota,Broadcast Graphics Overlay,Player Cam,17,3.8
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Toyota,LED Perimeter Signage,Wide Shot,1,2.8
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Optus,Broadcast Graphics Overlay,Player Cam,5,3.4
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Coca-Cola,Stadium Signage,Replay,1,3.7
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,XXXX Gold,Stadium Signage,Aerial/Drone,2,3.7
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Toyota,Broadcast Graphics Overlay,Player Cam,15,3.7
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Toyota,Broadcast Graphics Overlay,Wide Shot,18,3.8
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,Jersey Sponsor,Player Cam,2,3.4
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,LED Perimeter Signage,Close-up,2,3.7
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,LED Perimeter Signage,Wide Shot,12,3.0
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,LED Perimeter Signage,Aerial/Drone,2,3.5
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Coca-Cola,Stadium Signage,Replay,9,3.9
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,CommBank,Jersey Sponsor,Replay,19,3.6
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,Broadcast Graphics Overlay,Wide Shot,5,3.1
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Optus,Broadcast Graphics Overlay,Wide Shot,3,2.7
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Optus,Stadium Signage,Player Cam,6,3.3
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,Stadium Signage,Player Cam,4,4.1
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Adidas,Broadcast Graphics Overlay,Close-up,24,4.5
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Coca-Cola,Stadium Signage,Replay,1,4.4
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,CommBank,LED Perimeter Signage,Player Cam,10,3.0
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Telstra,Jersey Sponsor,Aerial/Drone,1,3.1
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,Jersey Sponsor,Wide Shot,24,5.0
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,LED Perimeter Signage,Wide Shot,6,3.5
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,CommBank,Stadium Signage,Wide Shot,15,3.9
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,LED Perimeter Signage,Replay,1,4.2
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,XXXX Gold,LED Perimeter Signage,Close-up,2,4.0
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Optus,LED Perimeter Signage,Wide Shot,3,3.1
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Coca-Cola,Jersey Sponsor,Wide Shot,11,3.4
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Telstra,Jersey Sponsor,Close-up,17,3.2
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Toyota,Broadcast Graphics Overlay,Wide Shot,3,3.9
1000,2025-08-01,Super Rugby,Channel 7,Waratahs,Brumbies,0.33,Qantas,Jersey Sponsor,Wide Shot,3,3.3
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Telstra,Jersey Sponsor,Player Cam,6,3.0
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,CommBank,Jersey Sponsor,Close-up,14,3.4
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Toyota,Broadcast Graphics Overlay,Replay,8,4.6
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,CommBank,Stadium Signage,Close-up,2,3.2
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Toyota,LED Perimeter Signage,Close-up,15,4.4
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Optus,Jersey Sponsor,Wide Shot,7,3.5
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Qantas,Stadium Signage,Wide Shot,6,4.1
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,CommBank,Stadium Signage,Close-up,1,3.2
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,CommBank,LED Perimeter Signage,Player Cam,8,3.5
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Adidas,Jersey Sponsor,Wide Shot,8,3.7
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Optus,LED Perimeter Signage,Player Cam,5,3.5
1001,2025-08-04,Super Rugby,Fox Sports,Force,Waratahs,0.34,Adidas,LED Perimeter Signage,Player Cam,25,4.5
